Vegetation Type,,Acidobacteria,Proteobacteria,Actinobacteria,Bacteroidetes,Thaumarchaeota,Chloroflexi,Planctomycetes,Gemmatimonadetes,Firmicutes,Nitrospirae,Euryarchaeota,others,Site,Composition,Phylum,
,,,,,,,,,,,,,,NM107,0.1168,Bacteroidetes,
,,,,,,,,,,,,,,NM109,0.102666667,Bacteroidetes,
,,,,,,,,,,,,,,NM111,0.080533333,Bacteroidetes,
,,,,,,,,,,,,,,NM1,0.087066667,Bacteroidetes,
,,,,,,,,,,,,,,NM3,0.0628,Bacteroidetes,
,,,,,,,,,,,,,,NM5,0.079466667,Bacteroidetes,
,,,,,,,,,,,,,,NM15,0.0744,Bacteroidetes,
,,,,,,,,,,,,,,NM19,0.074933333,Bacteroidetes,
,,,,,,,,,,,,,,NM23,0.086666667,Bacteroidetes,
,,,,,,,,,,,,,,NM31,0.116,Bacteroidetes,
,,,,,,,,,,,,,,NM33,0.0912,Bacteroidetes,
,,,,,,,,,,,,,,NM35,0.0684,Bacteroidetes,
,,,,,,,,,,,,,,NM37,0.1184,Bacteroidetes,
,,,,,,,,,,,,,,NM39,0.057866667,Bacteroidetes,
,,,,,,,,,,,,,,NM41,0.056533333,Bacteroidetes,
,,,,,,,,,,,,,,NM43,0.092266667,Bacteroidetes,
,,,,,,,,,,,,,,NM45,0.113333333,Bacteroidetes,
,,,,,,,,,,,,,,NM47,0.092,Bacteroidetes,
,,,,,,,,,,,,,,NM49,0.050933333,Bacteroidetes,
,,,,,,,,,,,,,,NM51,0.087733333,Bacteroidetes,
,,,,,,,,,,,,,,NM53,0.1052,Bacteroidetes,
,,,,,,,,,,,,,,NM55,0.075333333,Bacteroidetes,
,,,,,,,,,,,,,,NM61,0.1364,Bacteroidetes,
,,,,,,,,,,,,,,NM63,0.120533333,Bacteroidetes,
,,,,,,,,,,,,,,NM65,0.0976,Bacteroidetes,
,,,,,,,,,,,,,,NM67,0.054533333,Bacteroidetes,
,,,,,,,,,,,,,,NM69,0.1436,Bacteroidetes,
,,,,,,,,,,,,,,NM71,0.117333333,Bacteroidetes,
,,,,,,,,,,,,,,NM73,0.059866667,Bacteroidetes,
,,,,,,,,,,,,,,NM79,0.117466667,Bacteroidetes,
,,,,,,,,,,,,,,NM81,0.100133333,Bacteroidetes,
,,,,,,,,,,,,,,NM83,0.0724,Bacteroidetes,
,,,,,,,,,,,,,,NM85,0.11,Bacteroidetes,
,,,,,,,,,,,,,,NM113,0.059866667,Bacteroidetes,
,,,,,,,,,,,,,,NM115,0.1036,Bacteroidetes,
,,,,,,,,,,,,,,NM117,0.036,Bacteroidetes,
,,,,,,,,,,,,,,NM119,0.066133333,Bacteroidetes,
,,,,,,,,,,,,,,NM121,0.140133333,Bacteroidetes,
,,,,,,,,,,,,,,NM123,0.112266667,Bacteroidetes,
,,,,,,,,,,,,,,NM125,0.0284,Bacteroidetes,
,,,,,,,,,,,,,,NM127,0.0872,Bacteroidetes,
,,,,,,,,,,,,,,NM129,0.0472,Bacteroidetes,
,,,,,,,,,,,,,,NM7,0.076266667,Bacteroidetes,
,,,,,,,,,,,,,,NM9,0.031066667,Bacteroidetes,
,,,,,,,,,,,,,,NM11,0.048533333,Bacteroidetes,
,,,,,,,,,,,,,,NM13,0.052533333,Bacteroidetes,
,,,,,,,,,,,,,,NM17,0.1436,Bacteroidetes,
,,,,,,,,,,,,,,NM21,0.076533333,Bacteroidetes,
,,,,,,,,,,,,,,NM25,0.1096,Bacteroidetes,
,,,,,,,,,,,,,,NM27,0.1512,Bacteroidetes,
,,,,,,,,,,,,,,NM29,0.109866667,Bacteroidetes,
,,,,,,,,,,,,,,NM57,0.064266667,Bacteroidetes,
,,,,,,,,,,,,,,NM59,0.0524,Bacteroidetes,
,,,,,,,,,,,,,,NM75,0.113866667,Bacteroidetes,
,,,,,,,,,,,,,,NM77,0.1104,Bacteroidetes,
,,,,,,,,,,,,,,NM87,0.031066667,Thaumarchaeota,
,,,,,,,,,,,,,,NM89,0.005866667,Thaumarchaeota,
,,,,,,,,,,,,,,NM91,0.0588,Thaumarchaeota,
,,,,,,,,,,,,,,NM93,0.051866667,Thaumarchaeota,
,,,,,,,,,,,,,,NM95,0.0324,Thaumarchaeota,
,,,,,,,,,,,,,,NM97,0.026666667,Thaumarchaeota,
,,,,,,,,,,,,,,NM99,0.081866667,Thaumarchaeota,
,,,,,,,,,,,,,,NM101,0.076266667,Thaumarchaeota,
,,,,,,,,,,,,,,NM103,0.026533333,Thaumarchaeota,
,,,,,,,,,,,,,,NM105,0.038266667,Thaumarchaeota,
,,,,,,,,,,,,,,NM107,0.124533333,Thaumarchaeota,
,,,,,,,,,,,,,,NM109,0.189466667,Thaumarchaeota,
,,,,,,,,,,,,,,NM111,0.0416,Thaumarchaeota,
,,,,,,,,,,,,,,NM1,0.105466667,Thaumarchaeota,
,,,,,,,,,,,,,,NM3,0.105733333,Thaumarchaeota,
,,,,,,,,,,,,,,NM5,0.113866667,Thaumarchaeota,
,,,,,,,,,,,,,,NM15,0.129333333,Thaumarchaeota,
